scaffold_slug,scaffold_name,scaffold_ref_id,scaffold_smiles_source,hydroxyl_site_id,hydroxyl_oxygen_atom_idx,hydroxyl_neighbor_atom_idx,hydroxyl_neighbor_symbol,representative_mpm_id,representative_name,neutralized_smiles,cooh_group_count,product_smiles,product_canonical_smiles,sanitize_ok,error_message,pMIC_pred£¨¦Ìmol/ml£©,original_pMIC_pred£¨¦Ìmol/ml£©
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00285,3-Hydroxy-10-phenyldecanoic acid,O=C(O)CC(O)CCCCCCCc1ccccc1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC(O)CCCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC(O)CCCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-0.4833,-0.483278004
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00292,3-Hydroxy-9-phenylnonanoic acid,O=C(O)CC(O)CCCCCCc1ccccc1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC(O)CCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC(O)CCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-0.4148,-0.414811099
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00291,3-Hydroxy-8-phenyloctanoic acid,O=C(O)CC(O)CCCCCc1ccccc1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC(O)CCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC(O)CCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-0.3473,-0.347291903
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00290,3-Hydroxy-7-phenylheptanoic acid,O=C(O)CC(O)CCCCc1ccccc1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC(O)CCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC(O)CCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-0.279,-0.278951085
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00289,3-Hydroxy-6-phenylhexanoic acid,O=C(O)CC(O)CCCc1ccccc1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC(O)CCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC(O)CCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-0.2116,-0.211555053
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00388,"5-Oxo-4,5-dihydrofuran-2-acetate",O=C(O)CC1=CCC(=O)O1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC2=CCC(=O)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CC2=CCC(=O)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,0.2678,0.267841371
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00597,DL-Thioctic acid,O=C(O)CCCCC1CCSS1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCC2CCSS2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCC2CCSS2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-1.4531,-1.453073064
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00525,Coenzyme R,O=C(O)CCCCC1SCC2NC(=O)NC21,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCC2SCC3NC(=O)NC32)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCC2SCC3NC(=O)NC32)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-1.2939,-1.293852557
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00144,10-Phenyldecanoic acid,O=C(O)CCCCCCCCCc1ccccc1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-0.3395,-0.339499454
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00412,9-Phenylnonanoic acid,O=C(O)CCCCCCCCc1ccccc1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-0.271,-0.271027496
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00409,8-Phenyloctanoic acid,O=C(O)CCCCCCCc1ccccc1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-0.2035,-0.203502145
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00408,7-Phenylheptanoic acid,O=C(O)CCCCCCc1ccccc1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-0.1351,-0.135133729
tilmicosin,Tilmicosin (ÌæÃ×¿¼ÐÇ),REF_TILMICOSIN,repository_reference,O20_attached_to_C15,20,15,C,MPM00399,6-Phenylhexanoic acid,O=C(O)CCCCCc1ccccc1,1,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)C[C@@H](OC(=O)CCCCCc2ccccc2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,TRUE,,-0.0677,-0.0677139
